Date,Head_314740
1971-03-29 07:01:00,330.03
1971-04-01 07:01:00,329.99
1971-04-05 07:01:00,330.1
1971-04-08 07:01:00,330.21
1971-04-12 07:01:00,330.37
1971-04-15 07:01:00,330.3
1971-04-19 07:01:00,330.38
1971-04-22 07:01:00,330.46
1971-04-26 07:01:00,330.59
1971-04-29 07:01:00,330.42
1971-05-03 07:01:00,330.35
1971-05-06 07:01:00,330.44
1971-05-10 07:01:00,330.46
1971-05-13 07:01:00,330.58
1971-05-17 07:01:00,330.56
1971-05-20 07:01:00,330.58
1971-05-24 07:01:00,330.5
1971-05-27 07:01:00,330.37
1971-05-31 07:01:00,330.34
1971-06-03 07:01:00,330.33
1971-06-06 07:01:00,330.38
1971-06-10 07:01:00,330.33
1971-06-14 07:01:00,330.23
1971-06-17 07:01:00,330.21
1971-06-21 07:01:00,330.29
1971-06-24 07:01:00,330.26
1971-06-28 07:01:00,330.29
1971-07-01 07:01:00,330.27
1971-07-05 07:01:00,330.18
1971-07-08 07:01:00,330.15
1971-07-12 07:01:00,330.06
1971-07-15 07:01:00,330.19
1971-07-19 07:01:00,330.58
1971-07-22 07:01:00,330.36
1971-07-26 07:01:00,330.2
1971-07-29 07:01:00,330.11
1971-08-02 07:01:00,330.12
1971-08-05 07:01:00,330.14
1971-08-09 07:01:00,330.22
1971-08-12 07:01:00,330.13
1971-08-16 07:01:00,330.13
1971-08-19 07:01:00,330.14
1971-08-23 07:01:00,330.08
1971-08-26 07:01:00,330.03
1971-08-30 07:01:00,330.12
1971-09-02 07:01:00,330.37
1971-09-06 07:01:00,330.17
1971-09-09 07:01:00,330.09
1971-09-13 07:01:00,330.09
1971-09-16 07:01:00,330.05
1971-09-20 07:01:00,330.0
1971-09-23 07:01:00,329.96
1971-09-27 07:01:00,330.09
1971-09-30 07:01:00,330.09
1971-10-04 07:01:00,330.02
1971-10-07 07:01:00,329.98
1971-10-11 07:01:00,329.94
1971-10-14 07:01:00,329.91
1971-10-18 07:01:00,329.99
1971-10-21 07:01:00,329.94
1971-10-25 07:01:00,329.84
1971-10-26 07:01:00,329.87
1971-11-01 07:01:00,329.85
1971-11-04 07:01:00,329.84
1971-11-08 07:01:00,329.81
1971-11-11 07:01:00,329.82
1971-11-15 07:01:00,329.91
1971-11-18 07:01:00,329.83
1971-11-22 07:01:00,329.81
1971-11-25 07:01:00,329.82
1971-11-29 07:01:00,329.81
1971-12-02 07:01:00,329.77
1971-12-06 07:01:00,329.76
1971-12-09 07:01:00,329.74
1971-12-13 07:01:00,329.72
1971-12-16 07:01:00,329.74
1971-12-20 07:01:00,329.73
1971-12-23 07:01:00,329.99
1971-12-27 07:01:00,330.01
1971-12-30 07:01:00,329.92
1972-01-03 07:01:00,329.89
1972-01-06 07:01:00,329.86
1972-01-10 07:01:00,329.79
1972-01-13 07:01:00,329.8
1972-01-17 07:01:00,329.7
1972-01-20 07:01:00,329.72
1972-01-24 07:01:00,329.75
1972-01-27 07:01:00,329.74
1972-01-31 07:01:00,329.73
1972-02-03 07:01:00,329.73
1972-02-07 07:01:00,329.72
1972-02-10 07:01:00,329.74
