Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-14/09/2015
Datum: 14/09/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B58C0698,001,58CP7805,181600,359260,3017,,3026,2648,2598,1985/10/28,2002/08/23
B58C0698,001,58CP7805,181600,359260,3017,,3025,2647,2597,2002/08/23,2015/06/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B58C0698,001,2008/11/14 00:00:00,243,
B58C0698,001,2008/11/28 00:00:00,230,
B58C0698,001,2008/12/14 00:00:00,224,
B58C0698,001,2008/12/28 00:00:00,222,
B58C0698,001,2009/01/14 00:00:00,220,
B58C0698,001,2009/01/28 00:00:00,213,
B58C0698,001,2009/02/14 00:00:00,197,
B58C0698,001,2009/02/28 00:00:00,196,
B58C0698,001,2009/03/14 00:00:00,189,
B58C0698,001,2009/03/28 00:00:00,184,
B58C0698,001,2009/04/14 00:00:00,198,
B58C0698,001,2009/04/28 00:00:00,209,
B58C0698,001,2009/05/14 00:00:00,228,
B58C0698,001,2009/05/28 00:00:00,252,
B58C0698,001,2009/06/14 00:00:00,246,
B58C0698,001,2009/06/28 00:00:00,280,
B58C0698,001,2009/07/14 00:00:00,288,
B58C0698,001,2009/07/28 00:00:00,278,
B58C0698,001,2009/08/14 00:00:00,301,
B58C0698,001,2009/08/28 00:00:00,321,
B58C0698,001,2009/09/14 00:00:00,318,
B58C0698,001,2009/09/28 00:00:00,320,
B58C0698,001,2009/10/14 00:00:00,272,
B58C0698,001,2009/10/28 00:00:00,287,
B58C0698,001,2009/11/14 00:00:00,253,
B58C0698,001,2009/11/28 00:00:00,231,
B58C0698,001,2009/12/14 00:00:00,214,
B58C0698,001,2009/12/28 00:00:00,206,
B58C0698,001,2010/01/14 00:00:00,200,
B58C0698,001,2010/01/28 00:00:00,194,
B58C0698,001,2010/02/14 00:00:00,186,
B58C0698,001,2010/02/28 00:00:00,172,
B58C0698,001,2010/03/14 00:00:00,178,
B58C0698,001,2010/03/28 00:00:00,173,
