Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,14-01-2021,,,,,,,,
Gegevens beschikbaar:,06-06-2012,tot:,18-09-2019,,,,,,,,
Datum: ,14-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1804,001,,256559,485068,1944,01-12-2011,01-12-2011,06-06-2012,,,,
B28H1804,001,,256559,485068,1944,01-12-2011,06-06-2012,18-09-2019,2001,57,1846,1796


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1804,001,07-11-2013,50,-7,1951,,,,,,
B28H1804,001,08-11-2013,50,-7,1951,,,,,,
B28H1804,001,09-11-2013,50,-7,1951,,,,,,
B28H1804,001,10-11-2013,49,-8,1952,,,,,,
B28H1804,001,11-11-2013,50,-7,1951,,,,,,
B28H1804,001,12-11-2013,51,-6,1950,,,,,,
B28H1804,001,13-11-2013,50,-7,1951,,,,,,
B28H1804,001,14-11-2013,51,-6,1950,,,,,,
B28H1804,001,15-11-2013,51,-6,1950,,,,,,
B28H1804,001,16-11-2013,51,-6,1950,,,,,,
B28H1804,001,17-11-2013,51,-6,1950,,,,,,
B28H1804,001,18-11-2013,51,-6,1950,,,,,,
B28H1804,001,19-11-2013,51,-6,1950,,,,,,
B28H1804,001,20-11-2013,51,-6,1950,,,,,,
B28H1804,001,21-11-2013,51,-6,1950,,,,,,
B28H1804,001,22-11-2013,51,-6,1950,,,,,,
B28H1804,001,23-11-2013,52,-5,1949,,,,,,
B28H1804,001,24-11-2013,52,-5,1949,,,,,,
B28H1804,001,25-11-2013,52,-5,1949,,,,,,
B28H1804,001,26-11-2013,52,-5,1949,,,,,,
B28H1804,001,27-11-2013,52,-5,1949,,,,,,
B28H1804,001,28-11-2013,52,-5,1949,,,,,,
B28H1804,001,29-11-2013,52,-5,1949,,,,,,
B28H1804,001,30-11-2013,51,-6,1950,,,,,,
B28H1804,001,01-12-2013,51,-6,1950,,,,,,
B28H1804,001,02-12-2013,51,-6,1950,,,,,,
B28H1804,001,03-12-2013,51,-6,1950,,,,,,
B28H1804,001,04-12-2013,52,-5,1949,,,,,,
B28H1804,001,05-12-2013,51,-6,1950,,,,,,
B28H1804,001,06-12-2013,50,-7,1951,,,,,,
B28H1804,001,07-12-2013,50,-7,1951,,,,,,
B28H1804,001,08-12-2013,50,-7,1951,,,,,,
B28H1804,001,09-12-2013,51,-6,1950,,,,,,
B28H1804,001,10-12-2013,51,-6,1950,,,,,,
B28H1804,001,11-12-2013,51,-6,1950,,,,,,
B28H1804,001,12-12-2013,51,-6,1950,,,,,,
B28H1804,001,13-12-2013,51,-6,1950,,,,,,
B28H1804,001,14-12-2013,51,-6,1950,,,,,,
B28H1804,001,15-12-2013,51,-6,1950,,,,,,
B28H1804,001,16-12-2013,51,-6,1950,,,,,,
B28H1804,001,17-12-2013,51,-6,1950,,,,,,
B28H1804,001,18-12-2013,52,-5,1949,,,,,,
B28H1804,001,19-12-2013,51,-6,1950,,,,,,
B28H1804,001,20-12-2013,51,-6,1950,,,,,,
B28H1804,001,21-12-2013,51,-6,1950,,,,,,
B28H1804,001,22-12-2013,51,-6,1950,,,,,,
B28H1804,001,23-12-2013,51,-6,1950,,,,,,
B28H1804,001,24-12-2013,51,-6,1950,,,,,,
B28H1804,001,25-12-2013,48,-9,1953,,,,,,
B28H1804,001,26-12-2013,50,-7,1951,,,,,,
B28H1804,001,27-12-2013,50,-7,1951,,,,,,
B28H1804,001,28-12-2013,48,-9,1953,,,,,,
B28H1804,001,29-12-2013,49,-8,1952,,,,,,
B28H1804,001,30-12-2013,50,-7,1951,,,,,,
B28H1804,001,31-12-2013,50,-7,1951,,,,,,
B28H1804,001,01-01-2014,50,-7,1951,,,,,,
B28H1804,001,02-01-2014,51,-6,1950,,,,,,
B28H1804,001,03-01-2014,51,-6,1950,,,,,,
B28H1804,001,04-01-2014,50,-7,1951,,,,,,
B28H1804,001,05-01-2014,50,-7,1951,,,,,,
B28H1804,001,06-01-2014,51,-6,1950,,,,,,
B28H1804,001,07-01-2014,51,-6,1950,,,,,,
B28H1804,001,08-01-2014,50,-7,1951,,,,,,
B28H1804,001,09-01-2014,50,-7,1951,,,,,,
