date,B28H1804_2
2013-08-11 20:00:00,18.877
2013-08-12 20:00:00,18.876
2013-08-13 20:00:00,18.888
2013-08-14 20:00:00,18.849
2013-08-15 20:00:00,18.871
2013-08-16 20:00:00,18.82
2013-08-17 20:00:00,18.847
2013-08-18 20:00:00,18.885
2013-08-19 20:00:00,19.01
2013-08-20 20:00:00,19.007
2013-08-21 20:00:00,18.964
2013-08-22 20:00:00,18.926
2013-08-23 20:00:00,18.881
2013-08-24 20:00:00,18.841
2013-08-25 20:00:00,18.826
2013-08-26 20:00:00,18.797
2013-08-27 20:00:00,18.777
2013-08-28 20:00:00,18.751
2013-08-29 20:00:00,18.762
2013-08-30 20:00:00,18.75
2013-08-31 20:00:00,18.753
2013-09-01 20:00:00,18.75
2013-09-02 20:00:00,18.789
2013-09-03 20:00:00,18.804
2013-09-04 20:00:00,18.76
2013-09-05 20:00:00,18.705
2013-09-06 20:00:00,18.725
2013-09-07 20:00:00,18.829
2013-09-08 20:00:00,19.23
2013-09-09 20:00:00,19.189
2013-09-10 20:00:00,19.488
2013-09-11 20:00:00,19.474
2013-09-12 20:00:00,19.432
2013-09-13 20:00:00,19.412
2013-09-14 20:00:00,19.449
2013-09-15 20:00:00,19.418
2013-09-16 20:00:00,19.455
2013-09-17 20:00:00,19.428
2013-09-18 20:00:00,19.441
2013-09-19 20:00:00,19.424
2013-09-20 20:00:00,19.409
2013-09-21 20:00:00,19.4
2013-09-22 20:00:00,19.391
2013-09-23 20:00:00,19.39
2013-09-24 20:00:00,19.392
2013-09-25 20:00:00,19.387
2013-09-26 20:00:00,19.366
2013-09-27 20:00:00,19.349
2013-09-28 20:00:00,19.328
2013-09-29 20:00:00,19.306
2013-09-30 20:00:00,19.292
2013-10-01 20:00:00,19.275
2013-10-02 20:00:00,19.252
2013-10-03 20:00:00,19.23
2013-10-04 20:00:00,19.266
2013-10-05 20:00:00,19.258
2013-10-06 20:00:00,19.262
2013-10-07 20:00:00,19.25
2013-10-08 20:00:00,19.241
2013-10-09 20:00:00,19.255
2013-10-10 20:00:00,19.27
2013-10-11 20:00:00,19.451
2013-10-12 20:00:00,19.571
2013-10-13 20:00:00,19.557
2013-10-14 20:00:00,19.543
2013-10-15 20:00:00,19.566
2013-10-16 20:00:00,19.553
2013-10-17 20:00:00,19.527
2013-10-18 20:00:00,19.516
2013-10-19 20:00:00,19.511
2013-10-20 20:00:00,19.519
2013-10-21 20:00:00,19.505
2013-10-22 20:00:00,19.496
2013-10-23 20:00:00,19.549
2013-10-24 20:00:00,19.534
2013-10-25 20:00:00,19.531
2013-10-26 20:00:00,19.529
2013-10-27 20:00:00,19.544
2013-10-28 20:00:00,19.581
2013-10-29 20:00:00,19.56
2013-10-30 20:00:00,19.555
2013-10-31 20:00:00,19.551
2013-11-01 20:00:00,19.55
2013-11-02 20:00:00,19.6
2013-11-03 20:00:00,19.651
2013-11-04 20:00:00,19.694
2013-11-05 20:00:00,19.686
2013-11-06 20:00:00,19.673000000000002
2013-11-07 20:00:00,19.688
2013-11-08 20:00:00,19.684
2013-11-09 20:00:00,19.677
2013-11-10 20:00:00,19.692
2013-11-11 20:00:00,19.674
2013-11-12 20:00:00,19.676
2013-11-13 20:00:00,19.667
2013-11-14 20:00:00,19.662
2013-11-15 20:00:00,19.648
2013-11-16 20:00:00,19.643
2013-11-17 20:00:00,19.643
2013-11-18 20:00:00,19.646
2013-11-19 20:00:00,19.642
2013-11-20 20:00:00,19.645
2013-11-21 20:00:00,19.628
2013-11-22 20:00:00,19.62
2013-11-23 20:00:00,19.614
2013-11-24 20:00:00,19.606
2013-11-25 20:00:00,19.606
2013-11-26 20:00:00,19.604
2013-11-27 20:00:00,19.601
2013-11-28 20:00:00,19.601
2013-11-29 20:00:00,19.619
2013-11-30 20:00:00,19.625
2013-12-01 20:00:00,19.616
2013-12-02 20:00:00,19.614
2013-12-03 20:00:00,19.611
2013-12-04 20:00:00,19.609
2013-12-05 20:00:00,19.652
2013-12-06 20:00:00,19.652
2013-12-07 20:00:00,19.646
