,Extraction 3
1985-06-01,19689.90322580645
1985-07-01,19181.266666666666
1985-08-01,18169.58064516129
1985-09-01,18649.645161290322
1985-10-01,20209.5
1985-11-01,19515.709677419356
1985-12-01,19340.033333333333
1986-01-01,19156.25806451613
1986-02-01,19456.354838709678
1986-03-01,20432.928571428572
1986-04-01,20296.387096774193
1986-05-01,18990.6
1986-06-01,20263.290322580644
1986-07-01,19829.533333333333
1986-08-01,20635.129032258064
1986-09-01,21207.774193548386
1986-10-01,20204.1
1986-11-01,20162.483870967742
1986-12-01,19138.8
1987-01-01,19326.16129032258
1987-02-01,21124.0
1987-03-01,20814.89285714286
1987-04-01,21182.354838709678
1987-05-01,21779.833333333332
1987-06-01,20763.290322580644
1987-07-01,21549.166666666668
1987-08-01,20703.612903225807
1987-09-01,21552.870967741936
1987-10-01,21372.966666666667
1987-11-01,21537.870967741936
1987-12-01,20096.0
1988-01-01,21035.387096774193
1988-02-01,20384.451612903227
1988-03-01,20548.655172413793
1988-04-01,19003.354838709678
1988-05-01,20241.6
1988-06-01,20401.290322580644
1988-07-01,20840.166666666668
1988-08-01,18962.870967741936
1988-09-01,19714.25806451613
1988-10-01,19643.4
1988-11-01,19674.0
1988-12-01,19818.466666666667
1989-01-01,18844.25806451613
1989-02-01,16194.838709677419
1989-03-01,11084.5
1989-04-01,19771.129032258064
1989-05-01,20750.066666666666
1989-06-01,20810.129032258064
1989-07-01,20421.833333333332
1989-08-01,21012.967741935485
1989-09-01,20321.451612903227
1989-10-01,13622.633333333333
1989-11-01,17781.290322580644
1989-12-01,19153.8
1990-01-01,19073.483870967742
1990-02-01,18883.225806451614
1990-03-01,18763.214285714286
1990-04-01,18464.1935483871
1990-05-01,19244.666666666668
1990-06-01,20031.290322580644
1990-07-01,19800.0
1990-08-01,19586.129032258064
1990-09-01,19622.58064516129
1990-10-01,18791.666666666668
1990-11-01,16912.90322580645
1990-12-01,16736.666666666668
1991-01-01,17483.870967741936
1991-02-01,17525.8064516129
1991-03-01,18232.14285714286
1991-04-01,18241.935483870966
1991-05-01,17773.333333333332
1991-06-01,18832.25806451613
1991-07-01,18157.333333333332
1991-08-01,17996.774193548386
1991-09-01,19158.064516129034
1991-10-01,18876.666666666668
1991-11-01,18345.16129032258
1991-12-01,17923.333333333332
1992-01-01,16651.612903225807
1992-02-01,15367.741935483871
1992-03-01,18786.206896551725
1992-04-01,19932.25806451613
1992-05-01,19283.333333333332
1992-06-01,20216.129032258064
1992-07-01,20626.666666666668
1992-08-01,20296.774193548386
1992-09-01,20354.83870967742
1992-10-01,19976.666666666668
1992-11-01,19364.516129032258
1992-12-01,18193.333333333332
1993-01-01,18941.935483870966
1993-02-01,19058.064516129034
1993-03-01,18803.571428571428
1993-04-01,19654.83870967742
1993-05-01,19193.333333333332
1993-06-01,19687.09677419355
1993-07-01,19703.333333333332
1993-08-01,18406.451612903227
1993-09-01,18725.8064516129
1993-10-01,17876.666666666668
1993-11-01,18335.483870967742
1993-12-01,18620.0
1994-01-01,18416.129032258064
1994-02-01,18496.774193548386
1994-03-01,18653.571428571428
1994-04-01,16564.516129032258
1994-05-01,16413.333333333332
1994-06-01,16545.16129032258
1994-07-01,16976.666666666668
1994-08-01,19300.0
1994-09-01,14880.645161290322
1994-10-01,12553.333333333334
1994-11-01,15329.032258064517
1994-12-01,14023.333333333334
1995-01-01,17909.677419354837
1995-02-01,16929.032258064515
1995-03-01,14792.857142857143
1995-04-01,16445.16129032258
1995-05-01,16143.333333333334
1995-06-01,17722.58064516129
1995-07-01,17633.333333333332
1995-08-01,17803.225806451614
1995-09-01,19593.548387096773
1995-10-01,16833.333333333332
1995-11-01,14058.064516129032
1995-12-01,17150.0
1996-01-01,17525.8064516129
1996-02-01,16054.838709677419
1996-03-01,15917.241379310344
1996-04-01,15300.0
1996-05-01,16643.333333333332
1996-06-01,15251.612903225807
1996-07-01,16296.666666666666
1996-08-01,17393.548387096773
1996-09-01,16545.16129032258
1996-10-01,15850.0
1996-11-01,18767.74193548387
1996-12-01,17190.0
1997-01-01,17603.225806451614
1997-02-01,17622.58064516129
1997-03-01,14039.285714285714
1997-04-01,15393.548387096775
1997-05-01,15973.333333333334
1997-06-01,17645.16129032258
1997-07-01,17400.0
1997-08-01,16093.548387096775
1997-09-01,16635.483870967742
1997-10-01,15940.0
1997-11-01,16070.967741935483
1997-12-01,16370.0
1998-01-01,14609.677419354839
1998-02-01,15338.709677419354
1998-03-01,17460.714285714286
1998-04-01,16832.25806451613
1998-05-01,16566.666666666668
1998-06-01,17806.451612903227
1998-07-01,16873.333333333332
1998-08-01,16712.90322580645
1998-09-01,17329.032258064515
1998-10-01,17163.333333333332
1998-11-01,15022.58064516129
1998-12-01,13043.333333333334
1999-01-01,16887.09677419355
1999-02-01,17251.612903225807
1999-03-01,17135.714285714286
